fid,LINK_ID,s_link
128,1220012902,1220012900
129,1220012802,1220012800
130,1220008003,1220008000
131,1220008103,1220008100
132,1220012700,1220012700
133,1220012600,1220012600
134,1220001002,1220001000
135,1220000902,1220000900
136,1220011703,1220011700
137,1220011604,1220011600
138,1220011702,1220011700
139,1220011602,1220011600
140,1220011603,1220011600
141,1220011601,1220009800
142,1220014902,1220014900
143,1220014802,1220014800
144,1220010803,1220010800
145,1220010903,1220010900
146,1220010802,1220010800
147,1220010902,1220010900
148,1220008002,1220008000
149,1220008102,1220008100
150,1220008101,1220008100
151,1220017500,1220017500
152,1220017400,1220017400
153,1220017101,1220017100
154,1220017001,1220017000
155,1220014500,1220014500
156,1220014402,1220014400
157,1220010801,1220010800
158,1220012903,1220012900
159,1220012803,1220012800
160,1220001501,1220001500
161,1220001602,1220001600
162,1220001100,1220001100
163,1220001200,1220001200
164,1220015700,1220015700
165,1220015600,1220015600
166,1220017300,1220017300
167,1220017202,1220017200
168,1220017900,1220017900
169,1220017800,1220017800
170,1220001502,1220001500
171,1220001603,1220001600
172,1220015000,1220015000
173,1220015100,1220015100
174,1220013600,1220013600
175,1220013700,1220013700
176,1220018701,1220018700
177,1220018601,1220018600
178,1220018702,1220018700
179,1220018602,1220018600
180,1220018402,1220018400
181,1220018502,1220018500
182,1220018200,1220018200
183,1220018300,1220018300
184,1220015203,1220016800
185,1220018501,1220018500
186,1220018401,1220018400
187,1220014100,1220014100
188,1220015201,1220011600
189,1220015202,1220015200
190,1220015300,1220016900
191,1220016800,1220016800
192,1220010105,1220010100
193,1220010005,1220010000
194,1220050800,1220013800
195,1220050700,1220013900
196,1220013302,1220013300
197,1220013201,1220013200
198,1220013303,1220013300
199,1220013202,1220013200
200,1220056700,1220013900
201,1230051600,1220013300
202,1230051700,1220013200
203,1230054900,1220018900
204,1230055000,1220018800
205,1220017002,1220017000
206,1220017102,1220017100
207,1220018903,1220018900
208,1220018803,1220018800
209,1220018902,1220018900
210,1220018802,1220018800
211,1220052900,1220013900
212,1220056800,1220013800
213,1220056000,1220013800
214,1220055100,1220013900
215,1220054300,1220013800
216,1220052300,1220013200
217,1220052200,1220013300
218,1220001802,1220001800
219,1220001702,1220001700
220,1220001801,1220001800
221,1220001701,1220001700
222,1220057900,1220020200
223,1220058000,1220020300
224,1220001803,1220001800
225,1220001703,1220001700
226,1220012402,1220012400
227,1220012502,1220012500
228,1220011403,1220011400
229,1220011503,1220011500
230,1220014201,1220014200
231,1220014301,1220014300
232,1220016001,1220016000
233,1220016101,1220016100
234,1220010203,1220010200
235,1220010303,1220010300
236,1220010202,1220010200
237,1220010302,1220010300
238,1210015402,1210015400
239,1210015502,1210015500
240,1210018300,1210018300
241,1210018200,1210018200
242,1220010204,1220010200
243,1220010304,1220010300
244,1220011502,1220011500
245,1220011402,1220011400
246,1220012401,1220012400
247,1220012501,1220012500
248,1220019001,1220019000
249,1220019101,1220019100
250,1220016602,1220016600
251,1220016702,1220016700
252,1220016601,1220016600
253,1220016701,1220016700
254,1220015403,1220015400
255,1220015503,1220015500
256,1220011903,1220011900
257,1220011803,1220011800
258,1220016301,1220016300
259,1220016201,1220016200
260,1220015501,1220015500
261,1220015401,1220015400
262,1220015502,1220015500
263,1220015402,1220015400
264,1220019901,1220019900
265,1220019801,1220019800
266,1220021501,1220021500
267,1220021401,1220021400
268,1220020901,1220020900
269,1220020801,1220020800
270,1220011902,1220011900
271,1220011802,1220011800
272,1210013703,1210013700
273,1210013603,1210013600
274,1220010700,1220010700
275,1220010600,1220010600
276,1220013401,1220013400
277,1220013501,1220013500
278,1220013402,1220013400
279,1220013502,1220013500
280,1220019002,1220019000
281,1220019102,1220019100
282,1220016002,1220016000
283,1220016102,1220016100
284,1220009102,1220009100
285,1220009000,1220009000
286,1220014302,1220014300
287,1220011401,1220011400
288,1220020700,1220020700
289,1220020600,1220020600
290,1220019802,1220019800
291,1220019902,1220019900
292,1220016202,1220016200
293,1220016302,1220016300
294,1220019501,1220019500
295,1220019401,1220019400
296,1220019502,1220019500
297,1220019402,1220019400
298,1220060301,1220022100
299,1220059500,1220020300
300,1220020402,1220020400
301,1220020502,1220020500
302,1220020403,1220020400
303,1220020503,1220020500
304,1220020404,1220020400
305,1220020504,1220020500
306,1220020405,1220020400
307,1220020505,1220020500
308,1220060201,1220020200
309,1220060202,1220022000
310,1220060302,1220022100
311,1220062400,1220022800
312,1220001704,1220002500
313,1220014202,1220014200
314,1220020903,1220020900
315,1220020803,1220020800
316,1220021902,1220021900
317,1220021801,1220021800
318,1220021903,1220021900
319,1220021802,1220021800
320,1220022503,1220022500
321,1220022603,1220022600
322,1220022502,1220022500
323,1220022602,1220022600
324,1220023201,1220023200
325,1220023101,1220023100
326,1220022501,1220022500
327,1220022601,1220022600
328,1220024901,1220024900
329,1220024801,1220024800
330,1220019300,1220019300
331,1220019200,1220019200
332,1220014000,1220014000
333,1220021301,1220021300
334,1220021202,1220021200
335,1220024301,1220024300
336,1220024201,1220024200
337,1220021203,1220021200
338,1220021302,1220021300
339,1220023202,1220023200
340,1220062701,1220023500
341,1220022700,1220022700
342,1220062300,1220022700
343,1220061600,1220022700
344,1220061500,1220022800
345,1220024400,1220024400
346,1220024500,1220024500
347,1220062800,1220023600
348,1220003000,1220003000
349,1220001804,1220001800
350,1220062702,1220023500
351,1220002901,1220003800
352,1220061200,1220022700
353,1220061100,1220022800
354,1220002001,1220002000
355,1220025702,1220025700
356,1220025602,1220025600
357,1220002202,1220002200
358,1220002302,1220002300
359,1220025701,1220025700
360,1220025601,1220025600
361,1220002700,1220002700
362,1220002800,1220002800
363,1220001900,1220001900
364,1220025503,1220025500
365,1220025403,1220025400
366,1220024902,1220024900
367,1220024802,1220024800
368,1220024903,1220024900
369,1220024803,1220024800
370,1220026701,1220026700
371,1220026601,1220026600
372,1220026702,1220026700
373,1220026602,1220026600
374,1220026703,1220026700
375,1220026603,1220026600
376,1220026804,1220026800
377,1220026904,1220026900
378,1220029201,1220029200
379,1220029301,1220029300
380,1220028101,1220028100
381,1220028001,1220028000
382,1220003103,1220003100
383,1220003203,1220003200
384,1220028003,1220028000
385,1220028103,1220028100
387,1220003402,1220003400
388,1220003104,1220003100
389,1220003204,1220003200
390,1220003102,1220003100
391,1220003202,1220003200
392,1220003101,1220003100
393,1220003201,1220003200
394,1220027101,1220027100
395,1220027001,1220027000
396,1220028802,1220028800
397,1220028902,1220028900
398,1220028803,1220028800
399,1220028903,1220028900
400,1220028002,1220028000
401,1220028102,1220028100
402,1220078400,1220029500
403,1220078500,1220029400
404,1230076500,1220029400
405,1230076400,1220029500
406,1220029400,1220029400
407,1220029500,1220029500
408,1220026400,1220026400
409,1220026500,1220026500
410,1220027002,1220027000
411,1220027102,1220027100
412,1220028401,1220028400
413,1220028501,1220028500
414,1220028402,1220028400
415,1220028502,1220028500
416,1230067000,1220025600
417,1230066900,1220025700
418,1220079600,1220037400
419,1220076900,1220028700
420,1220079700,1220030300
421,1220003900,1220003900
422,1220025402,1220025400
423,1220025502,1220025500
424,1220025804,1220025800
425,1220025904,1220025900
426,1220031001,1220031000
427,1220031101,1220031100
428,1220029003,1220029000
429,1220029104,1220029100
430,1220031005,1220031000
431,1220031105,1220031100
432,1220031004,1220031000
433,1220031104,1220031100
434,1220031003,1220031000
435,1220031103,1220031100
436,1220031002,1220031000
437,1220031102,1220031100
438,1220034101,1220034100
439,1220034001,1220034000
440,1220032805,1220032800
441,1220032905,1220032900
442,1220032804,1220032800
443,1220032904,1220032900
444,1220032803,1220032800
445,1220032903,1220032900
446,1220032802,1220032800
447,1220032902,1220032900
448,1220032801,1220032800
449,1220032901,1220032900
450,1220033501,1220033500
451,1220033401,1220033400
452,1220026803,1220026800
453,1220026903,1220026900
454,1220026802,1220026800
455,1220026902,1220026900
456,1220026801,1220026800
457,1220026901,1220026900
458,1220026003,1220026000
459,1220026103,1220026100
460,1220027701,1220027700
461,1220027601,1220027600
462,1220030102,1220030100
463,1220030002,1220030000
464,1220031901,1220031900
465,1220031801,1220031800
466,1220031902,1220031900
467,1220031802,1220031800
468,1220031903,1220031900
469,1220031803,1220031800
470,1220031904,1220031900
471,1220031804,1220031800
472,1220033201,1220033200
473,1220033301,1220033300
474,1220027703,1220027700
475,1220027603,1220027600
476,1220030101,1220030100
477,1220030001,1220030000
478,1220032103,1220032100
479,1220032003,1220032000
480,1220027602,1220027600
481,1220027702,1220027700
482,1220030003,1220030000
483,1220030103,1220030100
484,1220029302,1220029300
485,1220029202,1220029200
486,1220030901,1220030900
487,1220030801,1220030800
488,1220029002,1220029000
489,1220029103,1220029100
490,1220033502,1220033500
491,1220033402,1220033400
492,1220030802,1220030800
493,1220030902,1220030900
494,1220004002,1220004000
495,1220033302,1220033300
496,1220027501,1220027500
497,1220027401,1220027400
498,1220027502,1220027500
499,1220027402,1220027400
500,1220027403,1220027400
501,1220027503,1220027500
502,1210030102,1210030100
503,1210030001,1210030000
504,1220032202,1220032200
505,1220032302,1220032300
506,1210029503,1210029500
507,1210029403,1210029400
508,1210027702,1210027700
509,1210027602,1210027600
510,1210025402,1210025400
511,1210025502,1210025500
512,1220025003,1220025000
513,1220025103,1220025100
514,1220027201,1220027200
515,1220027301,1220027300
516,1220027203,1220027200
517,1220027303,1220027300
518,1220027202,1220027200
519,1220027302,1220027300
520,1220027901,1220027900
521,1220027801,1220027800
522,1220027902,1220027900
523,1220027802,1220027800
524,1220027903,1220027900
525,1220027803,1220027800
526,1220030401,1220030400
527,1220030501,1220030500
528,1220030701,1220030700
529,1220030601,1220030600
530,1220032602,1220032600
531,1220032702,1220032700
532,1220030603,1220030600
533,1220030703,1220030700
534,1220030403,1220030400
535,1220030503,1220030500
536,1220030402,1220030400
537,1220030502,1220030500
538,1220030504,1220030500
539,1220030404,1220030400
540,1220030505,1220030500
541,1220030405,1220030400
542,1220034502,1220034500
543,1220034402,1220034400
544,1220033602,1220033600
545,1220033701,1220033700
546,1220032605,1220032600
547,1220032705,1220032700
548,1220032604,1220032600
549,1220032704,1220032700
550,1220032603,1220032600
551,1220032703,1220032700
552,1220032204,1220032200
553,1220032304,1220032300
554,1220032203,1220032200
555,1220032303,1220032300
556,1220032201,1220032200
557,1220032301,1220032300
558,1220029602,1220029600
559,1220029702,1220029700
560,1220031301,1220031300
561,1220031201,1220031200
562,1220028201,1220028200
563,1220028301,1220028300
564,1220030602,1220030600
565,1220030702,1220030700
566,1220029701,1220029700
567,1220029601,1220029600
568,1220026303,1220026300
569,1220026203,1220026200
570,1220031302,1220031300
571,1220031202,1220031200
572,1220033004,1220033000
573,1210030002,1210030000
574,1210030103,1210030100
575,1220033603,1220033600
576,1220033702,1220033700
577,1220028202,1220028200
578,1220028302,1220028300
579,1220027504,1220027500
580,1220027404,1220027400
581,1220029001,1220029000
582,1220029102,1220029100
583,1220029901,1220029900
584,1220029802,1220029800
585,1220029904,1220029900
586,1220029805,1220029800
587,1220032002,1220032000
588,1220032102,1220032100
589,1220033101,1220033100
590,1220033001,1220033000
591,1220032001,1220032000
592,1220032101,1220032100
593,1220033103,1220033100
594,1220033003,1220033000
595,1220033104,1220033100
596,1220034302,1220034300
597,1220034202,1220034200
598,1220034303,1220034300
599,1220034203,1220034200
600,1220034304,1220034300
601,1220034204,1220034200
602,1220034701,1220034700
603,1220034601,1220034600
604,1220029803,1220029800
605,1220029902,1220029900
606,1220029804,1220029800
607,1220029903,1220029900
608,1220033002,1220033000
609,1220033102,1220033100
610,1220033403,1220033400
611,1220033503,1220033500
612,1220035302,1220035300
613,1220035202,1220035200
614,1220035501,1220035500
615,1220035401,1220035400
616,1220034702,1220034700
617,1220034602,1220034600
618,1220034503,1220034500
619,1220034403,1220034400
620,1220035303,1220035300
621,1220035203,1220035200
622,1220004304,1220004300
623,1230004501,1230004500
624,1230004503,1230004500
625,1220082800,1220037400
627,1220003403,1220003400
628,1220004102,1220004100
629,1220004001,1220004000
630,1220004101,1220004100
631,1220031402,1220031400
632,1220031502,1220031500
633,1220031600,1220031600
634,1220031700,1220031700
635,1230081700,1220031600
636,1230081600,1220031700
637,1220005100,1220005100
638,1220005000,1220005000
639,1220033202,1220033200
640,1220004201,1220004200
643,1220088000,1220032500
644,1220031401,1220031400
